cve_id,commit_hash,cvss_score,epss_score,cwe_id,composite_score,fixed_gate_blocked,risk_gate_blocked
CVE-2018-1000070,3a8016d31f517775d226aa8b902480f4a3a148a9,8.8,0.02441,CWE-94,0.0146,True,False
CVE-2018-1000089,1a6086f2b58478d71f89bf27eb034ed81aefe5ef,7.4,0.01243,CWE-532,0.0075,True,False
CVE-2018-1000559,5a7869f2feaa346853d2a85413d6527c87ef0d9f,6.1,0.01483,CWE-79,0.4089,False,True
CVE-2018-1000809,a3edc09beffa2104f357fe24971ea3211ce40751,7.5,0.01675,CWE-20,0.01,True,False
CVE-2018-10657,33f469ba19586bbafa0cf2c7d7c35463bdab87eb,7.5,0.0151,CWE-20,0.0091,True,False
CVE-2018-10895,43e58ac865ff862c2008c510fc5f7627e10b4660,8.8,0.01187,CWE-352,0.0071,True,False
CVE-2018-10897,6a8de061f8fdc885e74ebe8c94625bf53643b71c,8.1,0.0571,CWE-22,0.4343,True,True
CVE-2018-10897,7554c0133eb830a71dc01846037cc047d0acbc2c,8.1,0.0571,CWE-22,0.4343,True,True
CVE-2018-11757,891896f25c39bc336ef6dda53f80f466ac4ca3c8,9.8,0.06895,NVD-CWE-noinfo,0.0414,True,False
CVE-2018-14650,72058f9253e7ed8c7243e2ff76a16d97b03d65ed,5.0,0.00429,CWE-276,0.0026,False,False
CVE-2018-18074,c45d7c49ea75133e52ab22a8e9e13173938e36ff,7.5,0.07443,CWE-522,0.0447,True,False
CVE-2018-19787,6be1d081b49c97cfd7b3fbd934a193b668629109,6.1,0.02438,CWE-79,0.4146,False,True
CVE-2018-20406,a4ae828ee416a66d8c7bf5ee71d653c2cc6a26dd,7.5,0.05789,CWE-190,0.0347,True,False
CVE-2018-20859,5b144559fbdba7ff673cc1c165aa2d343e07b6bd,6.1,0.01202,CWE-79,0.4072,False,True
CVE-2018-20954,49b64f62ade9ade3dff9337c7bbc1171eab3d59e,7.5,0.01148,CWE-287,0.0069,True,False
CVE-2018-6354,5f18eeaaa459bee9a58f70cdf7c46adb1ef34ea7,6.1,0.00749,CWE-79,0.4045,False,True
CVE-2018-6596,c07998304b4a31df4c61deddcb03d3607a04691b,9.1,0.02609,CWE-200,0.0157,True,False
CVE-2018-6596,db586ede1fbb41dce21310ea28ae15a1cf1286c5,9.1,0.02609,CWE-200,0.0157,True,False
CVE-2018-7206,1845c0e4b1bff3462c91c3108c85205acd3c75a2,8.8,0.01771,NVD-CWE-noinfo,0.0106,True,False
